CustomerID,Age,Gender,MaritalStatus,EducationLevel,Salary,ExperienceYears,PurchaseAmount,CustomerReview,SignupDate,IsChurn
48,35,Female,Divorced,Bachelor's,90482.35,35,638.15,Dog system degree than. Wrong close on crime. Investment different yeah.,8/19/2021,0
49,21,Male,Single,Master's,59533.74,23,631.75,Learn organization writer two land. Simple letter game figure.,12/31/2020,1
50,42,Male,Single,PhD,43953.75,17,3263.59,"Doctor rest ok assume. Effect enjoy form agency statement series.
Learn field suddenly same.",4/14/2020,0
51,31,Male,Single,High School,118365.68,26,3742.92,Reach thank center friend decision. All weight where already song oil.,1/6/2020,0
52,67,Female,Divorced,High School,105504.02,8,2937.68,People true story day their though report. Exactly structure provide interview certain.,5/26/2022,0
53,26,Male,Married,PhD,107436.42,29,4812.75,Later social speech little practice. Around talk soldier provide know church feeling.,4/16/2021,0
54,43,Male,,High School,52522.62,26,1905.61,Eight day child night. Hard third today media TV until.,10/13/2021,0
55,19,Female,Single,PhD,33495.13,10,1464.27,After pretty task right join act expect support.,6/26/2021,0
56,37,Male,Married,High School,57293.9,26,4349.57,Will political production need born.,2/17/2022,0
57,45,Male,Married,Bachelor's,78337.42,34,1156.8,"Region talk away water century when heavy thank. Bring anything would deal us.
Foot pay court pay.",10/29/2024,1
58,64,Male,Divorced,High School,59398.61,7,4817.95,Assume this four suddenly bit keep. Culture take wrong skin according although.,7/27/2023,0
59,24,Male,Divorced,PhD,104508.21,4,110.16,Bank step here defense money. Couple rock step ok no.,4/27/2024,0
60,61,Male,Divorced,PhD,54438.86,11,4850.9,Team research party onto. General such price authority.,1/28/2023,1
61,25,Female,Divorced,PhD,116872.66,29,263.64,President our Mr discussion little family.,4/28/2024,0
62,64,Female,Single,PhD,71153.86,36,4461.16,Blue increase standard enter lead. Answer during than color provide result.,6/12/2022,0
63,52,Female,Divorced,PhD,105782.08,25,2662.12,System now chair fight later of. Other boy grow paper reality use. Personal job item your own.,1/11/2022,1
64,31,Male,Married,Master's,47494.2,21,4965.18,Deal put compare pattern music assume. For bill organization rock. Tell sing meeting rest.,11/9/2023,1
65,34,Male,Single,,67021.85,36,415.29,Change consider successful paper allow step. Page our evidence contain.,2/5/2024,0
66,53,Male,Married,High School,92956.1,10,,Under interview while film mouth. House admit may.,12/25/2020,1
67,67,Female,Married,PhD,42451.78,37,4848.05,Pull treatment production sure job least along. Occur during perhaps computer.,7/23/2020,0
68,57,Male,Married,High School,41947.09,9,2639.33,She among ball man analysis ball financial.,4/9/2020,0
69,21,Male,Divorced,PhD,117258.32,24,3165.52,Want guess meeting condition. Clear hospital expert point education.,5/27/2023,0
70,19,Female,Divorced,PhD,94313.56,35,3493.96,Deal simple big role. Population thus purpose support.,7/7/2024,1
71,23,Male,Single,Master's,33696.08,35,2299.98,Avoid great pattern move series politics increase. Doctor year might effect now behavior method.,1/25/2020,0
72,59,Female,Single,Master's,65893.88,36,3156.41,Mean if whole key identify country.,,0
73,,Female,Divorced,Bachelor's,69016.87,18,2942.36,Outside cut room any term.,6/24/2021,0
74,46,Female,Married,Master's,,39,4510.73,Third it wide of. Glass address president form live outside article.,5/29/2022,0
75,35,Male,Single,Bachelor's,52577.45,32,274.96,Just herself difficult white we guess pass. Expert consumer across cost weight.,11/2/2021,0
76,43,Male,Divorced,Bachelor's,46590.03,24,1440.77,Majority or the since seven team become. Law bag when brother cold.,2/20/2024,0
77,61,Male,Divorced,Bachelor's,37278.57,23,4754.54,Trouble a stay yourself budget way. Break real he station either customer.,12/24/2020,0
78,51,Male,Divorced,Bachelor's,68548.3,32,4456.81,Economic poor expert analysis capital be. Society will mother.,9/3/2020,0
79,27,Male,Married,Bachelor's,91964.99,37,2305.5,Of race appear over behavior song. War during pass within.,9/10/2021,0
80,53,Male,Divorced,High School,35237.42,12,3119.66,Return play grow. Remain speak service opportunity show budget school. Price rate his send.,8/21/2020,0
81,31,Male,Divorced,Master's,112369.24,13,1423.04,Already against picture science trouble.,10/2/2023,0
82,48,Female,Divorced,Bachelor's,69811.7,23,981.2,Million lead age community.,3/5/2023,0
83,65,Male,Divorced,PhD,51580.86,25,2345.31,Would look before hot able small member. Thus action region.,6/23/2023,1
84,32,Female,,Master's,38448.6,35,1799.09,Eight leader question avoid rule successful. White of hot fish.,7/2/2022,0
85,25,Male,Single,Master's,46457.94,30,2939.1,Not television hot realize. Economy it town house single garden necessary.,9/3/2022,0
86,31,Male,Divorced,Bachelor's,114115.26,17,434.79,Although final arrive performance. Pattern left executive walk feeling.,11/11/2022,0
87,40,Male,Married,High School,87444.35,20,4873.25,Your bar pick out take loss. Not stay those political else.,10/5/2023,0
88,57,Female,Single,Bachelor's,76502.66,25,4931.74,"Technology eight appear account man edge. Believe any here.
Go other address top administration.",10/26/2024,0
89,38,Female,Divorced,High School,89140.02,22,3505.9,Election develop us company. News form clearly personal.,3/15/2021,0
90,33,Female,Single,PhD,69210.56,13,2703.68,Perform onto consider wind. Him listen recognize place.,2/17/2022,0
91,62,Female,Single,Master's,95703.54,19,,Morning bank rise minute protect until thousand general. Would summer police check after exactly.,8/4/2024,0
92,35,Male,Married,PhD,34294.45,36,4078.29,Music he let. Herself reflect alone agency lose.,10/28/2024,0
93,64,,Divorced,High School,80943.35,12,3439.42,Answer bad her life cost policy. Against manager day guess. Fine range area member everything play.,2/27/2020,0
94,41,Male,Divorced,High School,44278.18,19,854.95,"Never size wide life risk old. Real throughout likely best.
Plan also focus chair loss.",7/29/2022,0
95,43,Male,Married,PhD,40814.82,12,4559.09,Page those cut interesting friend. Eight describe various life could purpose staff nearly.,,0
96,42,Female,Married,High School,60769.17,,4121.56,"Former pull what sport.
True member list child million tell decision. Professor citizen once.",9/23/2024,0
97,62,Female,Divorced,PhD,38261.92,7,4751.51,Player enough carry make office whether. Vote those under pretty federal this senior.,4/30/2022,0
98,58,Female,Divorced,Master's,38474.13,28,3642.31,Grow oil civil while. Kind head hair campaign mother training gun type. Nature bank loss.,1/30/2022,0
99,46,Female,Married,PhD,58027.2,14,3086.41,Heavy speech Congress field state. Admit although chair doctor what husband great.,11/10/2021,0
100,32,Female,Single,Master's,118155.95,31,2120.3,Agree collection case whole figure much explain. Easy various debate glass relate fund strategy.,8/1/2022,1
